id,date,tile,cloud,overlap,visual,scl
S2A_59NQB_20240728_0_L2A,2024-07-28,MGRS-59NQB,1.229478,1,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/59/N/QB/2024/7/S2A_59NQB_20240728_0_L2A/TCI.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/59/N/QB/2024/7/S2A_59NQB_20240728_0_L2A/SCL.tif
S2A_59NQB_20240916_0_L2A,2024-09-16,MGRS-59NQB,1.432806,1,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/59/N/QB/2024/9/S2A_59NQB_20240916_0_L2A/TCI.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/59/N/QB/2024/9/S2A_59NQB_20240916_0_L2A/SCL.tif
S2A_59NQB_20240926_0_L2A,2024-09-26,MGRS-59NQB,0.526378,1,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/59/N/QB/2024/9/S2A_59NQB_20240926_0_L2A/TCI.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/59/N/QB/2024/9/S2A_59NQB_20240926_0_L2A/SCL.tif
S2B_59NQB_20241001_0_L2A,2024-10-01,MGRS-59NQB,1.417759,1,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/59/N/QB/2024/10/S2B_59NQB_20241001_0_L2A/TCI.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/59/N/QB/2024/10/S2B_59NQB_20241001_0_L2A/SCL.tif
S2B_59NQB_20241130_0_L2A,2024-11-30,MGRS-59NQB,1.1806,1,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/59/N/QB/2024/11/S2B_59NQB_20241130_0_L2A/TCI.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/59/N/QB/2024/11/S2B_59NQB_20241130_0_L2A/SCL.tif
S2C_59NQB_20250723_0_L2A,2025-07-23,MGRS-59NQB,0.463953,1,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/59/N/QB/2025/7/S2C_59NQB_20250723_0_L2A/TCI.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/59/N/QB/2025/7/S2C_59NQB_20250723_0_L2A/SCL.tif
S2B_59NQB_20251006_0_L2A,2025-10-06,MGRS-59NQB,1.669782,1,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/59/N/QB/2025/10/S2B_59NQB_20251006_0_L2A/TCI.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/59/N/QB/2025/10/S2B_59NQB_20251006_0_L2A/SCL.tif
S2B_59NQB_20251026_0_L2A,2025-10-26,MGRS-59NQB,2.005703,1,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/59/N/QB/2025/10/S2B_59NQB_20251026_0_L2A/TCI.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/59/N/QB/2025/10/S2B_59NQB_20251026_0_L2A/SCL.tif
